date,value,cash,holdings,dividends
2023-01-01,100000.0,100000.0,0,0.0
2023-01-08,104060.97892274857,6713.427969837199,39,0.0
2023-01-15,108479.34918855668,1656.8207232856862,41,0.0
2023-01-22,107914.19634126664,1656.8207232856862,41,0.0
2023-01-29,109909.46078371048,1656.8207232856862,41,0.0
2023-02-05,113477.02025102616,1656.8207232856862,41,0.0
2023-02-12,108829.02873994829,1268.0845794868587,41,0.0
2023-02-19,112315.67621614458,1268.0845794868587,41,0.0
2023-02-26,110137.93312817118,1288.0707204868588,41,19.986141
2023-03-05,114044.38072948954,1288.0707204868588,41,19.986141
2023-03-12,110659.64191036722,1288.0707204868588,41,19.986141
2023-03-19,102860.9605043461,1288.0707204868588,41,19.986141
2023-03-26,101765.48064842423,2803.243206407627,40,360.872797
2023-04-02,113572.55950139501,14556.424373373773,35,708.978385
2023-04-09,112436.84635230734,1171.4155585451306,40,1251.402625
2023-04-16,116825.0933386965,1171.4155585451306,40,1251.402625
2023-04-23,117457.62241813376,2358.9155585451304,40,2438.9026249999997
2023-04-30,118532.659834363,2716.9255585451306,40,2796.912625
2023-05-07,120189.11132362082,3017.9755585451303,40,3097.9626249999997
2023-05-14,119939.41692275717,96.01787872030127,41,3180.9626249999997
2023-05-21,122073.92281112386,160.91787872030127,41,3245.8626249999998
2023-05-28,120047.53336715414,189.81787872030128,41,3274.762625
2023-06-04,121574.47784423544,189.81787872030128,41,3274.762625
2023-06-11,121518.9948797579,268.8578787203013,41,3353.802625
2023-06-18,123259.52478698446,268.8578787203013,41,3353.802625
2023-06-25,119493.15326598837,268.8578787203013,41,3353.802625
2023-07-02,121820.11677392675,2275.7736113901324,40,3353.802625
2023-07-09,118050.43318242743,1378.513413140316,40,3353.802625
2023-07-16,116540.15506829931,2184.759079834957,39,3353.802625
2023-07-23,115345.71118180944,1539.1651422281466,39,3353.802625
2023-07-30,117138.18169473126,146.7458598466119,39,3353.802625
2023-08-06,115534.04250352336,2535.353779959222,38,3353.802625
2023-08-13,114319.59011278307,2552.982833959222,38,3371.431679
2023-08-20,110975.08356798327,2136.2623628441097,38,3371.431679
2023-08-27,110680.93811523594,101132.05757629551,3,3371.431679
2023-09-03,110872.3288541428,103995.56893592991,2,3371.431679
2023-09-10,111005.79734474339,103995.56893592991,2,3371.431679
2023-09-17,110941.24728805698,101286.10210830845,3,3371.431679
2023-09-24,110819.01723179019,101595.7515915314,3,3371.431679
2023-10-01,110632.28105674898,104381.90857444917,2,3454.6316789999996
2023-10-08,110339.2916703812,104226.87963730014,2,3454.6316789999996
2023-10-15,110447.29912689365,104923.99611786044,2,3454.6316789999996
2023-10-22,110293.83053157962,104937.2317919556,2,3454.6316789999996
2023-10-29,109761.94915340579,104937.2317919556,2,3454.6316789999996
