date,value,cash,holdings,dividends
2020-01-01,100000.0,100000.0,0,0.0
2020-01-08,101586.3224866867,1069.7767332076955,20,0.0
2020-01-15,104174.51650600432,1069.7767332076955,20,0.0
2020-01-22,106294.03055934905,1069.7767332076955,20,0.0
2020-01-29,106138.01928771973,829.3525587463309,20,78.0
2020-02-05,108949.7423979187,829.3525587463309,20,78.0
2020-02-12,111938.2678237915,84.02826080321574,20,78.0
2020-02-19,114706.51316343306,4360.139323101037,19,78.0
2020-02-26,106537.20061582564,2898.7387017631463,19,78.0
2020-03-04,101828.4841594696,362.4120159149106,19,78.0
2020-03-11,88310.01573440552,4170.494787902828,18,78.0
2020-03-18,75032.83303611755,19404.49950759887,14,78.0
2020-03-25,75233.28429082394,51228.882347617146,5,78.0
2020-04-01,77495.00504773617,43753.62627881527,7,78.0
2020-04-08,80745.02418853283,32462.52818633556,10,78.0
2020-04-15,80590.17688756465,3802.1426411199564,17,78.0
2020-04-22,77573.23382148266,3652.1343112897875,17,78.0
2020-04-29,83849.15110049718,91.87814364904136,18,167.774986
2020-05-06,83145.2424768957,3704.362275555978,17,389.196834
2020-05-13,86974.11697827662,3567.4762731679784,17,389.196834
2020-05-20,89978.90736829127,3567.4762731679784,17,389.196834
2020-05-27,90833.25386456813,1999.5221140798458,17,389.196834
2020-06-03,95835.24813658083,1738.2371197351367,17,389.196834
2020-06-10,93672.40314298953,1738.2371197351367,17,389.196834
2020-06-17,98104.47010618533,1738.2371197351367,17,389.196834
2020-06-24,100153.515148262,2075.6416207351367,17,726.6013350000001
2020-07-01,103804.6713701286,1551.534487346618,17,769.651335
2020-07-08,107386.34217319867,1551.534487346618,17,769.651335
2020-07-15,109236.99890766523,1551.534487346618,17,769.651335
2020-07-22,111537.89636860273,1551.534487346618,17,769.651335
2020-07-29,107490.23144016645,1551.534487346618,17,769.651335
2020-08-05,108508.01400049588,351.72061594387833,17,769.651335
2020-08-12,110925.80197687527,4206.869867042511,16,769.651335
2020-08-19,115229.57164163968,4206.869867042511,16,769.651335
2020-08-26,118635.88921191654,4271.536566042511,16,834.318034
2020-09-02,119545.52211978397,4271.536566042511,16,834.318034
2020-09-09,113075.33955218754,4271.536566042511,16,834.318034
2020-09-16,114595.95155219515,666.7823741861275,18,834.318034
2020-09-23,112991.83321265658,666.7823741861275,18,834.318034
2020-09-30,115395.18798882923,303.25246865710596,18,834.318034
2020-10-07,119247.41629083118,303.25246865710596,18,834.318034
2020-10-14,120415.67032952746,123.86866326770178,18,834.318034
2020-10-21,116422.59648271045,5299.491994337648,17,834.318034
2020-10-28,109523.04599022344,3473.4417688794424,17,877.71802
2020-11-04,117846.8096299596,1579.5605721898391,17,877.71802
2020-11-11,118419.96272901967,1579.5605721898391,17,877.71802
2020-11-18,120042.7013915296,932.799322437796,17,877.71802
2020-11-25,119682.1104300733,959.299322437796,17,904.21802
2020-12-02,123153.66895349248,1013.495247437796,17,958.413945
2020-12-09,124168.81418636067,459.95383479817883,17,958.413945
2020-12-16,128141.01886012776,459.95383479817883,17,958.413945
2020-12-23,131600.95616309866,950.2522064946515,17,958.413945
2020-12-30,134889.90400855764,950.2522064946515,17,958.413945
2021-01-06,136939.25560157522,950.2522064946515,17,958.413945
2021-01-13,135377.57968299612,950.2522064946515,17,958.413945
2021-01-20,132969.43832877857,4754.200955426537,17,958.413945
2021-01-27,128874.55130758032,3080.505710503903,18,958.413945
2021-02-03,133882.55082139716,2812.148618790953,18,958.413945
2021-02-10,134143.9472561811,2812.148618790953,18,958.413945
2021-02-17,137806.79635438666,2812.148618790953,18,958.413945
2021-02-24,136357.90775201545,1795.0289029859023,18,958.413945
2021-03-03,140211.02715608344,519.352168290472,18,958.413945
2021-03-10,139248.78686830268,519.352168290472,18,958.413945
2021-03-17,142140.88862916693,519.352168290472,18,958.413945
2021-03-24,142267.81074067816,519.352168290472,18,958.413945
2021-03-31,144293.06331941352,519.352168290472,18,958.413945
2021-04-07,147671.70664955841,419.7096955941688,18,958.413945
2021-04-14,152472.95830704438,419.7096955941688,18,958.413945
2021-04-21,150836.96767910442,7424.9024058195055,17,1080.3679041
2021-04-28,156186.52411632976,452.99792461833385,18,1468.4929041
2021-05-05,155547.32556812724,201.4407624479245,18,1523.4929041
2021-05-12,148357.70426815472,5001.702797588918,17,1582.8929041000001
2021-05-19,147057.18362473926,4407.88620042286,17,1714.8929041000001
2021-05-26,152450.0754774233,3204.5748174806636,17,1729.2929041000002
2021-06-02,156976.90927297078,3204.5748174806636,17,1729.2929041000002
2021-06-09,158887.58511868917,3238.1748174806635,17,1762.8929041000001
2021-06-16,157080.56356561146,2174.6877168413203,17,1762.8929041000001
2021-06-23,151847.88373136483,7236.22011136971,16,1762.8929041000001
2021-06-30,155859.68343612633,7059.320009917837,16,1762.8929041000001
2021-07-07,165114.13258621178,7059.320009917837,16,1762.8929041000001
2021-07-14,168525.54612991295,7059.320009917837,16,1762.8929041000001
2021-07-21,168233.12700569115,5668.966315383535,16,1762.8929041000001
2021-07-28,178230.72879759254,5697.0247151035355,16,1790.95130382
2021-08-04,184101.89350859108,5697.0247151035355,16,1790.95130382
2021-08-11,181155.29230085792,5697.0247151035355,16,1790.95130382
2021-08-18,181609.86317030372,5697.0247151035355,16,1790.95130382
2021-08-25,181952.03914511253,5384.070929170136,16,1920.01804462
2021-09-01,185340.98064672996,5384.070929170136,16,1920.01804462
2021-09-08,181619.77716314842,5384.070929170136,16,1920.01804462
2021-09-15,178717.8634172683,5384.070929170136,16,1920.01804462
