ticker,score,price,ma50,ma200,distance_ma200,ma50_above_ma200,ma200_rising,relative_strength_3m,relative_strength_6m,price_vs_52w_high,52w_high,death_cross,days_since_death_cross,revenue_growth,profit_margin,roe,quality_score
BOL.ST,108.4,613.5999755859375,529.9339990234375,385.96749954223634,58.977109812011875,True,True,34.52600704732311,76.40035119932087,0.8965516564837366,684.4000244140625,False,,0.091,0.10057,0.13294,10.0
SAND.ST,102.1,366.79998779296875,310.6140008544922,257.33399322509763,42.53848984192228,True,True,15.130878256639454,36.70524971834177,0.9683210127066886,378.79998779296875,False,,0.01,0.12173,0.15445,10.0
EPI-B.ST,98.6,229.0,194.63000030517577,184.58650634765624,24.06107278973791,True,True,19.938156305760764,17.92896173726833,0.9744680851063829,235.0,False,,-0.067,0.13875,0.20126,10.0
ARISE.ST,91.7,44.599998474121094,40.91399982452393,35.27479210853576,26.4358931922063,True,True,33.644513691895234,13.63618558960254,0.991111077202691,45.0,False,,-0.162,0.03265,0.01502,0.0
INDU-C.ST,90.6,473.20001220703125,418.17799987792966,378.77249954223635,24.929875526579888,True,True,6.879793359827756,10.371641392961763,1.0,473.20001220703125,False,,0.103,0.97664,0.082370006,12.0
PEAB-B.ST,90.3,99.0,84.46400009155273,78.0693531036377,26.81032449260429,True,True,21.379825052668785,15.67340753296385,0.9840954423619331,100.5999984741211,False,,0.009,0.02316,0.082650006,2.0
INDU-A.ST,90.3,471.79998779296875,418.0279986572266,378.82699966430664,24.542334155445385,True,True,6.496275832907044,10.096956880091518,0.9978849407237339,472.79998779296875,False,,0.103,0.97664,0.082370006,12.0
ERIC-B.ST,90.1,99.44000244140625,91.00440002441407,82.25942882537842,20.885841126491425,True,True,-6.887710052506426,20.77470941773921,0.9816386914677463,101.30000305175781,False,,-0.05,0.12011,0.28254998,10.0
ATCO-A.ST,89.7,187.35000610351562,172.87500030517577,159.45075248718263,17.49709749320604,True,True,6.974684877243414,9.293779662702743,0.9692188471065413,193.3000030517578,False,,-0.07,0.15694,0.23579,12.0
SAAB-B.ST,88.8,639.2000122070312,583.3629998779297,521.9178863525391,22.471375080499115,True,True,12.331953425235769,5.650606803271856,0.8536325088506276,748.7999877929688,False,,0.172,0.07177,0.13552,12.0
AZN.ST,87.4,1711.0,1705.26,1516.1042700195312,12.855034698765017,True,True,-6.04700693656459,-3.2809934807308814,0.957738595018192,1786.5,False,,0.12,0.1617,0.21674,18.0
ATCO-B.ST,86.5,162.64999389648438,153.44799926757813,141.16186752319337,15.222330754274301,True,True,3.7181830385647476,6.451720706457365,0.9607205609249728,169.3000030517578,False,,-0.07,0.15694,0.23579,12.0
ABB.ST,86.4,772.5999755859375,694.98,634.735500793457,21.719988029681918,True,True,2.5909183164062934,2.9950151775148335,0.9728027747556077,794.2000122070312,False,,0.054,0.1425,0.29326,14.0
VOLV-B.ST,86.4,346.29998779296875,301.4879992675781,278.3429998779297,24.41483635113595,True,True,19.99539779087314,1.20762248078751,0.9832480857195589,352.20001220703125,False,,-0.106,0.07191,0.18469,6.0
VOLV-A.ST,86.3,346.3999938964844,301.68,278.54699989318846,24.359621187560737,True,True,19.932226253485325,1.2012718940737699,0.9846503863449187,351.79998779296875,False,,-0.106,0.07191,0.18469,6.0
SWED-A.ST,86.2,351.0,322.75800170898435,279.312000579834,25.66592171884713,True,True,7.087705557204336,10.288703488966089,0.9645507169198966,363.8999938964844,False,,-0.107,0.47636002,0.14732,8.0
HM-B.ST,85.9,185.14999389648438,178.51399963378907,154.49622787475585,19.841109678469536,True,True,-4.468204744873248,16.229585246225767,0.9830102888062953,188.35000610351562,False,,-0.048,0.053260002,0.27109,8.0
SSAB-B.ST,85.5,73.63999938964844,71.1652003479004,60.91245759963989,20.89480919266634,True,True,13.900750528342526,15.337023437554592,0.9253581012222563,79.58000183105469,False,,-0.064,0.05095,0.07067,2.0
INVE-B.ST,83.8,358.8500061035156,331.1170001220703,300.84494354248045,19.280717128903525,True,True,1.9903591945009875,5.588859853681395,1.0,358.8500061035156,False,,,0.71616995,0.17742,10.0
AXFO.ST,83.6,328.8999938964844,289.0539996337891,282.04895881652834,16.61095835153656,True,True,11.247836679655164,-6.949524380593461,0.9966666481711648,330.0,False,,0.044,0.02624,0.31224,8.0
SSAB-A.ST,83.4,74.16000366210938,72.1196004486084,62.06078447341919,19.49575612256773,True,True,11.594518445554316,13.538333255047831,0.923766875806608,80.27999877929688,False,,-0.064,0.05095,0.07067,2.0
TEL2-B.ST,83.2,171.10000610351562,154.09000030517578,149.2999072265625,14.601548843477497,True,True,1.027227741864479,-8.29250765296691,0.9133582723068083,187.33065795898438,False,,0.033,0.15346,0.20647,14.0
ALFA.ST,81.5,506.6000061035156,476.17000061035156,437.45884353637695,15.805181124744877,True,True,1.257708498845611,3.0420786357604044,0.9558490681198408,530.0,False,,0.046,0.118719995,0.19346,10.0
HANZA.ST,80.6,136.0,125.92400024414063,107.90669330596924,26.034813813052576,True,True,-4.132040263396309,2.3706513198176467,0.9618105082774078,141.39999389648438,False,,0.268,0.03644,0.12543,10.0
ELUX-B.ST,80.5,82.0,63.871199951171874,61.419399967193606,33.508305264784845,True,False,26.445191299055352,19.913802350278928,0.8195901798981435,100.05000305175781,False,,-0.075,0.00669,0.09528,0.0
AMBEA.ST,80.1,138.39999389648438,136.26999908447266,124.32678382873536,11.319531990094244,True,True,-1.2414734130064229,1.2470249560359932,0.963788217367604,143.60000610351562,False,,0.157,0.04382,0.135,10.0
