Ticker,Name,Sector,MarketCap,LastUpdated
ABB.ST,ABB,Industrials,Large,2026-02-05
ALFA.ST,Alfa Laval,Industrials,Large,2026-02-05
ASSA-B.ST,ASSA ABLOY B,Industrials,Large,2026-02-05
ATCO-A.ST,Atlas Copco A,Industrials,Large,2026-02-05
ATCO-B.ST,Atlas Copco B,Industrials,Large,2026-02-05
AZN.ST,AstraZeneca,Healthcare,Large,2026-02-05
BOL.ST,Boliden,Materials,Large,2026-02-05
EPI-B.ST,Epiroc B,Industrials,Large,2026-02-05
EQT.ST,EQT AB,Financials,Large,2026-02-27
ERIC-B.ST,Ericsson B,Technology,Large,2026-02-05
ESSITY-B.ST,Essity B,Consumer Staples,Large,2026-02-05
EVO.ST,Evolution Gaming,Consumer Discretionary,Large,2026-02-27
GETI-B.ST,Getinge B,Healthcare,Large,2026-02-05
HEXA-B.ST,Hexagon B,Technology,Large,2026-02-05
HM-B.ST,H&M B,Consumer Discretionary,Large,2026-02-05
INDU-A.ST,Industrivarden A,Financials,Large,2026-02-27
INDU-C.ST,Industrivarden C,Financials,Large,2026-02-27
INVE-B.ST,Investor B,Financials,Large,2026-02-05
KINV-B.ST,Kinnevik B,Financials,Large,2026-02-05
LATO-B.ST,Latour B,Financials,Large,2026-02-27
LIFCO-B.ST,Lifco B,Industrials,Large,2026-02-27
LUND-B.ST,Lundbergforetagen B,Financials,Large,2026-02-27
NDA-SE.ST,Nordea Bank,Financials,Large,2026-02-05
SAAB-B.ST,Saab B,Industrials,Large,2026-02-27
SAND.ST,Sandvik,Industrials,Large,2026-02-05
SEB-A.ST,SEB A,Financials,Large,2026-02-05
SECU-B.ST,Securitas B,Industrials,Large,2026-02-05
SHB-A.ST,Handelsbanken A,Financials,Large,2026-02-05
SKA-B.ST,Skanska B,Industrials,Large,2026-02-05
SKF-B.ST,SKF B,Industrials,Large,2026-02-05
SOBI.ST,Swedish Orphan Biovitrum,Healthcare,Large,2026-02-27
SWED-A.ST,Swedbank A,Financials,Large,2026-02-05
TEL2-B.ST,Tele2 B,Communication Services,Large,2026-02-05
TELIA.ST,Telia Company,Communication Services,Large,2026-02-27
VOLCAR-B.ST,Volvo Cars B,Consumer Discretionary,Large,2026-02-27
VOLV-A.ST,Volvo A,Industrials,Large,2026-02-05
VOLV-B.ST,Volvo B,Industrials,Large,2026-02-05
